epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
111,62633.7,2.25526,2.93402,0.01023,0.42472,0.16741,0.15162,0.09085,2.34649,3.11277,0.01162,0.00521341,0.0017378,0.00521341,0.0017378,0.00521341,0.0017378,0.00521341,0.0017378
112,63101.7,2.254,2.93646,0.01024,0.42491,0.16716,0.1518,0.09096,2.34572,3.1124,0.01162,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149
113,63583.8,2.24306,2.92886,0.01022,0.42459,0.16697,0.15205,0.09113,2.34529,3.11286,0.01162,0.00476,0.00158667,0.00476,0.00158667,0.00476,0.00158667,0.00476,0.00158667
114,64072.3,2.24757,2.93022,0.0102,0.42653,0.16705,0.15218,0.0913,2.34533,3.11313,0.01162,0.00454008,0.00151336,0.00454008,0.00151336,0.00454008,0.00151336,0.00454008,0.00151336
115,64535.8,2.24946,2.91689,0.01016,0.4293,0.16707,0.15203,0.09129,2.34526,3.11328,0.01162,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161
116,65253.2,2.24908,2.91029,0.01011,0.43201,0.16749,0.15211,0.09131,2.34527,3.11326,0.01161,0.0041143,0.00137143,0.0041143,0.00137143,0.0041143,0.00137143,0.0041143,0.00137143
117,65711.9,2.24212,2.9079,0.01011,0.43204,0.16727,0.15225,0.0914,2.34521,3.11326,0.0116,0.00390862,0.00130287,0.00390862,0.00130287,0.00390862,0.00130287,0.00390862,0.00130287
118,67391.1,2.24307,2.90169,0.01009,0.43081,0.1677,0.15216,0.09139,2.34527,3.11397,0.0116,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596
119,67854.2,2.23972,2.91758,0.01017,0.42903,0.16714,0.15207,0.0914,2.34527,3.11512,0.0116,0.00351215,0.00117072,0.00351215,0.00117072,0.00351215,0.00117072,0.00351215,0.00117072
120,68314.4,2.24358,2.9051,0.01011,0.42941,0.16689,0.15188,0.09139,2.34443,3.11507,0.0116,0.00332153,0.00110718,0.00332153,0.00110718,0.00332153,0.00110718,0.00332153,0.00110718
121,68774.1,2.23782,2.89406,0.01005,0.43095,0.16677,0.15193,0.09144,2.34442,3.11579,0.0116,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537
122,69234.1,2.23146,2.88478,0.01004,0.43189,0.1673,0.15203,0.09154,2.34403,3.11515,0.0116,0.00295593,0.000985311,0.00295593,0.000985311,0.00295593,0.000985311,0.00295593,0.000985311
123,69697.4,2.23266,2.88953,0.01007,0.43179,0.16708,0.15211,0.09164,2.34434,3.11559,0.01161,0.00278112,0.00092704,0.00278112,0.00092704,0.00278112,0.00092704,0.00278112,0.00092704
124,70193.8,2.23316,2.88354,0.01002,0.43374,0.16716,0.15223,0.0917,2.34408,3.11667,0.0116,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577
125,70650.2,2.23312,2.87836,0.01,0.43339,0.16703,0.15203,0.09159,2.34322,3.11785,0.01159,0.00244784,0.000815947,0.00244784,0.000815947,0.00244784,0.000815947,0.00244784,0.000815947
126,71110.7,2.27543,2.8542,0.01132,0.43354,0.16687,0.15197,0.09163,2.34332,3.11717,0.01159,0.00228952,0.000763174,0.00228952,0.000763174,0.00228952,0.000763174,0.00228952,0.000763174
127,71565.9,2.26861,2.83423,0.01125,0.43471,0.16675,0.15207,0.09175,2.3436,3.11687,0.01159,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282
128,72028.5,2.26388,2.82754,0.01117,0.43391,0.16689,0.15232,0.09191,2.34265,3.1169,0.01158,0.00198988,0.000663292,0.00198988,0.000663292,0.00198988,0.000663292,0.00198988,0.000663292
